ct_name,code_iaids,meaning,seq,ntsb_type,ntsb_code,avn_code,ntsb_codes_more,not_for_ntsb_use,eADMS_use,notes
ct_prop_dmg         ,NONE,None,1.0,N,01, ,,False,False,Keep for archived data
ct_prop_dmg         ,OPRP,Other Property,10.0,N,10, ,,False,False,Keep for archived data
ct_prop_dmg         ,RESA,Residential Area,3.0,N,03, ,,False,False,Keep for archived data
ct_prop_dmg         ,RESD,Residence,2.0,N,02, ,,False,False,Keep for archived data
ct_prop_dmg         ,TREE,Trees,7.0,N,07, ,,False,False,Keep for archived data
ct_prop_dmg         ,UNK,Unknown,0.0,N,00, ,,False,False,Keep for archived data
ct_prop_dmg         ,VEHL,Vehicle,5.0,N,05, ,,False,False,Keep for archived data
ct_prop_dmg         ,WRPL,"Wires, Poles",9.0,N,10, ,,False,False,Keep for archived data
ct_propeller_type   ,CONP,Controllable Pitch,2.0,-,- ,-,,False,False,Keep for archived data
ct_propeller_type   ,FIXP,Fixed Pitch,1.0,-,- ,-,,False,False,Keep for archived data
ct_report_type,CA,Data Collection,,,,,,False,True,
ct_report_type,FA,Field - Launch,,,,,,False,True,
ct_report_type,FAMS,Missing Aircraft,99.0,,,,,False,True,
ct_report_type,IA,Incident,,,,,,False,True,
ct_report_type,LA,Limited,,,,,,False,True,
ct_report_type,MA,Major - Launch,,,,,,False,True,
ct_report_type,NA,Notification Aviation,97.0,,,,,False,True,
ct_report_type,RA,Foreign - Launch,,,,,,False,True,
ct_report_type,SA,Special,,,,,,False,True,
ct_report_type,TA,Truncated Aviation,,,,,,False,True,
ct_report_type,WA,Foreign,,,,,,False,True,
ct_report_type_notuse,GA,Launch,,,,,,False,True,
ct_report_type_notuse,PA,Major - Public Aircraft,98.0,,,,,False,True,
ct_report_type_notuse,TA,??,,,,,,False,True,
ct_rwy_cond         ,DRY,Dry,1.0,N,01, ,,False,True,
ct_rwy_cond         ,HOLE,Holes,16.0,N,16, ,,False,True,
ct_rwy_cond         ,ICEC,Ice,3.0,N,03, ,,False,True,
ct_rwy_cond         ,RBDP,Rubber Deposits,12.0,N,12, ,,False,True,
ct_rwy_cond         ,ROUG,Rough,14.0,N,14, ,,False,True,
ct_rwy_cond         ,SH2O,Standing Water,,,,,,False,True,New
ct_rwy_cond         ,SLUH,Slush covered,15.0,N,15, ,,False,True,
ct_rwy_cond         ,SNCM,Snow--compacted,7.0,N,07, ,,False,False,Keep for archived data
ct_rwy_cond         ,SNCR,Snow-crusted,6.0,N,06, ,,False,False,Keep for archived data
ct_rwy_cond         ,SNDR,Snow--dry,4.0,N,04, ,,False,False,Keep for archived data
ct_rwy_cond         ,SNOW,Snow,,,,,,False,True,New
ct_rwy_cond         ,SNWT,Snow--wet,5.0,N,05, ,,False,False,Keep for archived data
ct_rwy_cond         ,SOFT,Soft,13.0,N,13, ,,False,True,
ct_rwy_cond         ,VEGE,Vegetation,8.0,N,08, ,,False,True,
ct_rwy_cond         ,WACH,Water--choppy,10.0,N,10, ,,False,True,
ct_rwy_cond         ,WACM,Water--calm,9.0,N,09, ,,False,True,
